module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:time:time
0	50	3375	4096	15	0	4.8e-05
0	50	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.9e-05
0	500	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	5.2e-05
0	600	3375	4096	15	0	4.8e-05
0	100	8000	9261	20	0	4.7e-05
0	100	8000	9261	20	0	4.7e-05
0	100	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	5.2e-05
0	20	8000	9261	20	0	4.7e-05
0	200	8000	9261	20	0	4.8e-05
0	200	8000	9261	20	0	4.7e-05
0	200	8000	9261	20	0	4.8e-05
0	30	8000	9261	20	0	4.7e-05
0	30	8000	9261	20	0	4.8e-05
0	30	8000	9261	20	0	4.8e-05
0	300	8000	9261	20	0	4.8e-05
0	300	8000	9261	20	0	4.8e-05
0	300	8000	9261	20	0	4.8e-05
0	400	8000	9261	20	0	4.8e-05
0	400	8000	9261	20	0	4.8e-05
0	400	8000	9261	20	0	4.8e-05
0	50	8000	9261	20	0	4.9e-05
0	50	8000	9261	20	0	4.8e-05
0	50	8000	9261	20	0	4.8e-05
0	500	8000	9261	20	0	4.9e-05
0	500	8000	9261	20	0	4.8e-05
0	500	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.9e-05
0	100	10648	12167	22	0	4.8e-05
0	100	10648	12167	22	0	4.8e-05
0	100	10648	12167	22	0	4.7e-05
0	20	10648	12167	22	0	4.8e-05
0	20	10648	12167	22	0	4.8e-05
0	20	10648	12167	22	0	4.8e-05
0	200	10648	12167	22	0	4.8e-05
0	200	10648	12167	22	0	4.7e-05
0	200	10648	12167	22	0	4.7e-05
0	30	10648	12167	22	0	4.9e-05
0	30	10648	12167	22	0	4.8e-05
0	30	10648	12167	22	0	4.8e-05
0	300	10648	12167	22	0	4.8e-05
0	300	10648	12167	22	0	4.8e-05
0	300	10648	12167	22	0	4.8e-05
0	400	10648	12167	22	0	4.7e-05
0	400	10648	12167	22	0	4.7e-05
0	400	10648	12167	22	0	4.7e-05
0	50	10648	12167	22	0	4.8e-05
0	50	10648	12167	22	0	4.7e-05
0	50	10648	12167	22	0	4.7e-05
0	500	10648	12167	22	0	4.8e-05
0	500	10648	12167	22	0	4.7e-05
0	500	10648	12167	22	0	4.7e-05
0	600	10648	12167	22	0	4.7e-05
0	600	10648	12167	22	0	4.7e-05
0	600	10648	12167	22	0	4.8e-05
0	100	15625	17576	25	0	4.7e-05
0	100	15625	17576	25	0	4.8e-05
0	100	15625	17576	25	0	4.7e-05
0	20	15625	17576	25	0	5.2e-05
0	20	15625	17576	25	0	4.8e-05
0	20	15625	17576	25	0	4.7e-05
0	200	15625	17576	25	0	4.7e-05
0	200	15625	17576	25	0	5.3e-05
0	200	15625	17576	25	0	4.8e-05
0	30	15625	17576	25	0	4.7e-05
0	30	15625	17576	25	0	4.7e-05
0	30	15625	17576	25	0	4.8e-05
0	300	15625	17576	25	0	4.8e-05
0	300	15625	17576	25	0	4.7e-05
0	300	15625	17576	25	0	4.7e-05
0	400	15625	17576	25	0	4.8e-05
0	400	15625	17576	25	0	4.7e-05
0	400	15625	17576	25	0	4.7e-05
0	50	15625	17576	25	0	4.7e-05
0	50	15625	17576	25	0	4.7e-05
0	50	15625	17576	25	0	5.1e-05
0	500	15625	17576	25	0	4.7e-05
0	500	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.7e-05
0	600	15625	17576	25	0	4.8e-05
0	600	15625	17576	25	0	4.8e-05
0	600	15625	17576	25	0	5.2e-05
0	100	21952	24389	28	0	4.8e-05
0	100	21952	24389	28	0	4.8e-05
0	100	21952	24389	28	0	4.8e-05
0	20	21952	24389	28	0	4.7e-05
0	20	21952	24389	28	0	4.9e-05
0	20	21952	24389	28	0	4.7e-05
0	200	21952	24389	28	0	4.8e-05
0	200	21952	24389	28	0	4.7e-05
0	200	21952	24389	28	0	4.8e-05
0	30	21952	24389	28	0	4.7e-05
0	30	21952	24389	28	0	4.8e-05
0	30	21952	24389	28	0	4.8e-05
0	300	21952	24389	28	0	4.8e-05
0	300	21952	24389	28	0	4.8e-05
0	300	21952	24389	28	0	4.8e-05
0	400	21952	24389	28	0	4.8e-05
0	400	21952	24389	28	0	4.8e-05
0	400	21952	24389	28	0	4.8e-05
0	50	21952	24389	28	0	4.8e-05
0	50	21952	24389	28	0	4.8e-05
0	50	21952	24389	28	0	4.7e-05
0	500	21952	24389	28	0	4.7e-05
0	500	21952	24389	28	0	4.8e-05
0	500	21952	24389	28	0	4.8e-05
0	600	21952	24389	28	0	4.7e-05
0	600	21952	24389	28	0	4.8e-05
0	600	21952	24389	28	0	4.8e-05
0	100	27000	29791	30	0	4.8e-05
0	100	27000	29791	30	0	4.9e-05
0	100	27000	29791	30	0	5.2e-05
0	20	27000	29791	30	0	4.8e-05
0	20	27000	29791	30	0	4.7e-05
0	20	27000	29791	30	0	4.8e-05
0	200	27000	29791	30	0	4.8e-05
0	200	27000	29791	30	0	4.8e-05
0	200	27000	29791	30	0	4.7e-05
0	30	27000	29791	30	0	4.8e-05
0	30	27000	29791	30	0	4.7e-05
0	30	27000	29791	30	0	4.7e-05
0	300	27000	29791	30	0	4.8e-05
0	300	27000	29791	30	0	4.7e-05
0	300	27000	29791	30	0	5.2e-05
0	400	27000	29791	30	0	5.2e-05
0	400	27000	29791	30	0	4.7e-05
0	400	27000	29791	30	0	4.8e-05
0	50	27000	29791	30	0	4.7e-05
0	50	27000	29791	30	0	4.7e-05
0	50	27000	29791	30	0	4.7e-05
0	500	27000	29791	30	0	4.8e-05
0	500	27000	29791	30	0	4.7e-05
0	500	27000	29791	30	0	5.1e-05
0	600	27000	29791	30	0	4.7e-05
0	600	27000	29791	30	0	4.7e-05
0	600	27000	29791	30	0	4.8e-05
0	100	42875	46656	35	0	4.7e-05
0	100	42875	46656	35	0	4.7e-05
0	100	42875	46656	35	0	4.7e-05
0	20	42875	46656	35	0	5.2e-05
0	20	42875	46656	35	0	5.2e-05
0	20	42875	46656	35	0	4.8e-05
0	200	42875	46656	35	0	4.8e-05
0	200	42875	46656	35	0	4.7e-05
0	200	42875	46656	35	0	4.8e-05
0	30	42875	46656	35	0	4.7e-05
0	30	42875	46656	35	0	4.7e-05
0	30	42875	46656	35	0	4.7e-05
0	300	42875	46656	35	0	4.8e-05
0	300	42875	46656	35	0	4.8e-05
0	300	42875	46656	35	0	4.8e-05
0	400	42875	46656	35	0	4.8e-05
0	400	42875	46656	35	0	4.7e-05
0	400	42875	46656	35	0	4.7e-05
0	50	42875	46656	35	0	4.8e-05
0	50	42875	46656	35	0	4.8e-05
0	50	42875	46656	35	0	4.7e-05
0	500	42875	46656	35	0	4.7e-05
0	500	42875	46656	35	0	4.8e-05
0	500	42875	46656	35	0	4.8e-05
0	600	42875	46656	35	0	4.8e-05
0	600	42875	46656	35	0	4.7e-05
0	600	42875	46656	35	0	4.8e-05
0	100	64000	68921	40	0	4.8e-05
0	100	64000	68921	40	0	4.8e-05
0	100	64000	68921	40	0	4.8e-05
0	20	64000	68921	40	0	5.2e-05
0	20	64000	68921	40	0	4.8e-05
0	20	64000	68921	40	0	4.7e-05
0	200	64000	68921	40	0	4.7e-05
0	200	64000	68921	40	0	4.8e-05
0	200	64000	68921	40	0	4.9e-05
0	30	64000	68921	40	0	4.8e-05
0	30	64000	68921	40	0	4.7e-05
0	30	64000	68921	40	0	4.7e-05
0	300	64000	68921	40	0	4.8e-05
0	300	64000	68921	40	0	4.7e-05
0	300	64000	68921	40	0	4.8e-05
0	400	64000	68921	40	0	4.8e-05
0	400	64000	68921	40	0	4.7e-05
0	400	64000	68921	40	0	4.8e-05
0	50	64000	68921	40	0	4.8e-05
0	50	64000	68921	40	0	4.8e-05
0	50	64000	68921	40	0	4.7e-05
0	500	64000	68921	40	0	4.8e-05
0	500	64000	68921	40	0	4.8e-05
0	500	64000	68921	40	0	4.8e-05
0	600	64000	68921	40	0	4.7e-05
0	600	64000	68921	40	0	4.7e-05
0	600	64000	68921	40	0	4.8e-05
0	100	3375	4096	15	0	5.2e-05
0	100	3375	4096	15	0	4.7e-05
0	100	3375	4096	15	0	4.7e-05
0	20	3375	4096	15	0	5.1e-05
0	20	3375	4096	15	0	4.7e-05
0	20	3375	4096	15	0	4.8e-05
0	200	3375	4096	15	0	4.8e-05
0	200	3375	4096	15	0	4.8e-05
0	200	3375	4096	15	0	4.7e-05
0	30	3375	4096	15	0	4.7e-05
0	30	3375	4096	15	0	4.7e-05
0	30	3375	4096	15	0	4.8e-05
0	300	3375	4096	15	0	4.7e-05
0	300	3375	4096	15	0	4.8e-05
0	300	3375	4096	15	0	4.8e-05
0	400	3375	4096	15	0	4.8e-05
0	400	3375	4096	15	0	4.7e-05
0	400	3375	4096	15	0	5.1e-05
0	50	3375	4096	15	0	4.7e-05
0	50	3375	4096	15	0	4.8e-05
0	50	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.8e-05
0	500	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.7e-05
0	600	3375	4096	15	0	4.7e-05
0	600	3375	4096	15	0	4.7e-05
0	600	3375	4096	15	0	4.7e-05
0	100	8000	9261	20	0	4.8e-05
0	100	8000	9261	20	0	4.7e-05
0	100	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	4.7e-05
0	20	8000	9261	20	0	4.8e-05
0	200	8000	9261	20	0	4.7e-05
0	200	8000	9261	20	0	4.8e-05
0	200	8000	9261	20	0	4.8e-05
0	30	8000	9261	20	0	4.7e-05
0	30	8000	9261	20	0	4.7e-05
0	30	8000	9261	20	0	4.7e-05
0	300	8000	9261	20	0	4.8e-05
0	300	8000	9261	20	0	4.8e-05
0	300	8000	9261	20	0	4.7e-05
0	400	8000	9261	20	0	4.8e-05
0	400	8000	9261	20	0	4.8e-05
0	400	8000	9261	20	0	4.8e-05
0	50	8000	9261	20	0	4.9e-05
0	50	8000	9261	20	0	4.8e-05
0	50	8000	9261	20	0	4.8e-05
0	500	8000	9261	20	0	4.8e-05
0	500	8000	9261	20	0	4.7e-05
0	500	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.7e-05
0	600	8000	9261	20	0	4.9e-05
0	100	10648	12167	22	0	4.8e-05
0	100	10648	12167	22	0	4.8e-05
0	100	10648	12167	22	0	4.7e-05
0	20	10648	12167	22	0	4.7e-05
0	20	10648	12167	22	0	4.8e-05
0	20	10648	12167	22	0	4.7e-05
0	200	10648	12167	22	0	4.8e-05
0	200	10648	12167	22	0	5.2e-05
0	200	10648	12167	22	0	4.7e-05
0	30	10648	12167	22	0	4.9e-05
0	30	10648	12167	22	0	5.2e-05
0	30	10648	12167	22	0	4.8e-05
0	300	10648	12167	22	0	4.7e-05
0	300	10648	12167	22	0	4.7e-05
0	300	10648	12167	22	0	4.7e-05
0	400	10648	12167	22	0	4.8e-05
0	400	10648	12167	22	0	4.7e-05
0	400	10648	12167	22	0	4.8e-05
0	50	10648	12167	22	0	4.9e-05
0	50	10648	12167	22	0	5.2e-05
0	50	10648	12167	22	0	4.8e-05
0	500	10648	12167	22	0	4.8e-05
0	500	10648	12167	22	0	4.8e-05
0	500	10648	12167	22	0	4.7e-05
0	600	10648	12167	22	0	4.8e-05
0	600	10648	12167	22	0	4.7e-05
0	600	10648	12167	22	0	4.8e-05
0	100	15625	17576	25	0	4.8e-05
0	100	15625	17576	25	0	4.8e-05
0	100	15625	17576	25	0	4.7e-05
0	20	15625	17576	25	0	4.8e-05
0	20	15625	17576	25	0	4.7e-05
0	20	15625	17576	25	0	4.8e-05
0	200	15625	17576	25	0	4.7e-05
0	200	15625	17576	25	0	4.8e-05
0	200	15625	17576	25	0	4.8e-05
0	30	15625	17576	25	0	4.7e-05
0	30	15625	17576	25	0	4.7e-05
0	30	15625	17576	25	0	4.8e-05
0	300	15625	17576	25	0	4.7e-05
0	300	15625	17576	25	0	4.7e-05
0	300	15625	17576	25	0	4.7e-05
0	400	15625	17576	25	0	4.8e-05
0	400	15625	17576	25	0	4.8e-05
0	400	15625	17576	25	0	4.8e-05
0	50	15625	17576	25	0	4.8e-05
0	50	15625	17576	25	0	4.8e-05
0	50	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.7e-05
0	600	15625	17576	25	0	4.7e-05
0	600	15625	17576	25	0	4.7e-05
0	600	15625	17576	25	0	4.7e-05
0	100	21952	24389	28	0	4.8e-05
0	100	21952	24389	28	0	4.7e-05
0	100	21952	24389	28	0	4.7e-05
0	20	21952	24389	28	0	4.8e-05
0	20	21952	24389	28	0	4.8e-05
0	20	21952	24389	28	0	4.8e-05
0	200	21952	24389	28	0	4.8e-05
0	200	21952	24389	28	0	4.8e-05
0	200	21952	24389	28	0	4.9e-05
0	30	21952	24389	28	0	4.9e-05
0	30	21952	24389	28	0	4.8e-05
0	30	21952	24389	28	0	4.8e-05
0	300	21952	24389	28	0	4.8e-05
0	300	21952	24389	28	0	4.7e-05
0	300	21952	24389	28	0	4.7e-05
0	400	21952	24389	28	0	4.8e-05
0	400	21952	24389	28	0	4.7e-05
0	400	21952	24389	28	0	4.8e-05
0	50	21952	24389	28	0	4.7e-05
0	50	21952	24389	28	0	4.8e-05
0	50	21952	24389	28	0	4.7e-05
0	500	21952	24389	28	0	4.8e-05
0	500	21952	24389	28	0	4.7e-05
0	500	21952	24389	28	0	4.8e-05
0	600	21952	24389	28	0	4.7e-05
0	600	21952	24389	28	0	4.8e-05
0	600	21952	24389	28	0	4.7e-05
0	100	27000	29791	30	0	4.8e-05
0	100	27000	29791	30	0	4.9e-05
0	100	27000	29791	30	0	5.2e-05
0	20	27000	29791	30	0	4.7e-05
0	20	27000	29791	30	0	4.7e-05
0	20	27000	29791	30	0	4.7e-05
0	200	27000	29791	30	0	4.8e-05
0	200	27000	29791	30	0	5.1e-05
0	200	27000	29791	30	0	4.8e-05
0	30	27000	29791	30	0	4.8e-05
0	30	27000	29791	30	0	4.8e-05
0	30	27000	29791	30	0	4.7e-05
0	300	27000	29791	30	0	4.8e-05
0	300	27000	29791	30	0	4.7e-05
0	300	27000	29791	30	0	4.7e-05
0	400	27000	29791	30	0	5.2e-05
0	400	27000	29791	30	0	5.2e-05
0	400	27000	29791	30	0	4.8e-05
0	50	27000	29791	30	0	4.7e-05
0	50	27000	29791	30	0	4.8e-05
0	50	27000	29791	30	0	4.8e-05
0	500	27000	29791	30	0	4.7e-05
0	500	27000	29791	30	0	4.7e-05
0	500	27000	29791	30	0	4.7e-05
0	600	27000	29791	30	0	4.8e-05
0	600	27000	29791	30	0	4.7e-05
0	600	27000	29791	30	0	4.8e-05
0	100	42875	46656	35	0	4.7e-05
0	100	42875	46656	35	0	4.7e-05
0	100	42875	46656	35	0	4.7e-05
0	20	42875	46656	35	0	4.7e-05
0	20	42875	46656	35	0	4.7e-05
0	20	42875	46656	35	0	4.8e-05
0	200	42875	46656	35	0	4.7e-05
0	200	42875	46656	35	0	4.7e-05
0	200	42875	46656	35	0	4.7e-05
0	30	42875	46656	35	0	4.8e-05
0	30	42875	46656	35	0	4.7e-05
0	30	42875	46656	35	0	4.8e-05
0	300	42875	46656	35	0	4.7e-05
0	300	42875	46656	35	0	4.7e-05
0	300	42875	46656	35	0	4.7e-05
0	400	42875	46656	35	0	4.7e-05
0	400	42875	46656	35	0	5.1e-05
0	400	42875	46656	35	0	4.7e-05
0	50	42875	46656	35	0	4.7e-05
0	50	42875	46656	35	0	4.7e-05
0	50	42875	46656	35	0	4.7e-05
0	500	42875	46656	35	0	5.2e-05
0	500	42875	46656	35	0	4.7e-05
0	500	42875	46656	35	0	4.7e-05
0	600	42875	46656	35	0	4.7e-05
0	600	42875	46656	35	0	4.8e-05
0	600	42875	46656	35	0	4.8e-05
0	100	64000	68921	40	0	4.8e-05
0	100	64000	68921	40	0	4.7e-05
0	100	64000	68921	40	0	4.7e-05
0	20	64000	68921	40	0	4.7e-05
0	20	64000	68921	40	0	4.8e-05
0	20	64000	68921	40	0	4.8e-05
0	200	64000	68921	40	0	4.8e-05
0	200	64000	68921	40	0	4.8e-05
0	200	64000	68921	40	0	5.2e-05
0	30	64000	68921	40	0	4.8e-05
0	30	64000	68921	40	0	4.7e-05
0	30	64000	68921	40	0	4.9e-05
0	300	64000	68921	40	0	4.7e-05
0	300	64000	68921	40	0	4.8e-05
0	300	64000	68921	40	0	4.8e-05
0	400	64000	68921	40	0	4.7e-05
0	400	64000	68921	40	0	4.8e-05
0	400	64000	68921	40	0	4.7e-05
0	50	64000	68921	40	0	4.7e-05
0	50	64000	68921	40	0	5.2e-05
0	50	64000	68921	40	0	4.8e-05
0	500	64000	68921	40	0	4.8e-05
0	500	64000	68921	40	0	4.7e-05
0	500	64000	68921	40	0	4.8e-05
0	600	64000	68921	40	0	4.8e-05
0	600	64000	68921	40	0	4.8e-05
0	600	64000	68921	40	0	4.8e-05
0	100	3375	4096	15	0	4.8e-05
0	100	3375	4096	15	0	4.8e-05
0	100	3375	4096	15	0	4.7e-05
0	20	3375	4096	15	0	5.1e-05
0	20	3375	4096	15	0	4.8e-05
0	20	3375	4096	15	0	4.8e-05
0	200	3375	4096	15	0	4.7e-05
0	200	3375	4096	15	0	4.7e-05
0	200	3375	4096	15	0	4.7e-05
0	30	3375	4096	15	0	4.8e-05
0	30	3375	4096	15	0	4.7e-05
0	30	3375	4096	15	0	4.8e-05
0	300	3375	4096	15	0	4.8e-05
0	300	3375	4096	15	0	4.8e-05
0	300	3375	4096	15	0	4.7e-05
0	400	3375	4096	15	0	4.7e-05
0	400	3375	4096	15	0	4.8e-05
0	400	3375	4096	15	0	4.8e-05
0	50	3375	4096	15	0	4.7e-05
0	50	3375	4096	15	0	4.7e-05
0	50	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.8e-05
0	500	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	4.7e-05
0	600	3375	4096	15	0	4.7e-05
0	100	8000	9261	20	0	5.2e-05
0	100	8000	9261	20	0	4.8e-05
0	100	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	4.7e-05
0	20	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	4.8e-05
0	200	8000	9261	20	0	4.7e-05
0	200	8000	9261	20	0	4.7e-05
0	200	8000	9261	20	0	4.8e-05
0	30	8000	9261	20	0	4.7e-05
0	30	8000	9261	20	0	5.2e-05
0	30	8000	9261	20	0	4.7e-05
0	300	8000	9261	20	0	4.7e-05
0	300	8000	9261	20	0	5.3e-05
0	300	8000	9261	20	0	4.8e-05
0	400	8000	9261	20	0	4.7e-05
0	400	8000	9261	20	0	4.7e-05
0	400	8000	9261	20	0	4.7e-05
0	50	8000	9261	20	0	4.9e-05
0	50	8000	9261	20	0	4.8e-05
0	50	8000	9261	20	0	4.8e-05
0	500	8000	9261	20	0	4.8e-05
0	500	8000	9261	20	0	4.7e-05
0	500	8000	9261	20	0	4.7e-05
0	600	8000	9261	20	0	4.9e-05
0	600	8000	9261	20	0	4.8e-05
0	600	8000	9261	20	0	4.8e-05
0	100	10648	12167	22	0	4.8e-05
0	100	10648	12167	22	0	4.7e-05
0	100	10648	12167	22	0	5.1e-05
0	20	10648	12167	22	0	4.7e-05
0	20	10648	12167	22	0	4.8e-05
0	20	10648	12167	22	0	4.7e-05
0	200	10648	12167	22	0	4.8e-05
0	200	10648	12167	22	0	4.8e-05
0	200	10648	12167	22	0	4.8e-05
0	30	10648	12167	22	0	4.7e-05
0	30	10648	12167	22	0	4.8e-05
0	30	10648	12167	22	0	4.7e-05
0	300	10648	12167	22	0	4.8e-05
0	300	10648	12167	22	0	4.7e-05
0	300	10648	12167	22	0	4.9e-05
0	400	10648	12167	22	0	4.7e-05
0	400	10648	12167	22	0	5.2e-05
0	400	10648	12167	22	0	4.7e-05
0	50	10648	12167	22	0	4.9e-05
0	50	10648	12167	22	0	4.7e-05
0	50	10648	12167	22	0	4.8e-05
0	500	10648	12167	22	0	4.7e-05
0	500	10648	12167	22	0	4.8e-05
0	500	10648	12167	22	0	4.8e-05
0	600	10648	12167	22	0	4.7e-05
0	600	10648	12167	22	0	4.8e-05
0	600	10648	12167	22	0	4.7e-05
0	100	15625	17576	25	0	4.7e-05
0	100	15625	17576	25	0	4.8e-05
0	100	15625	17576	25	0	4.8e-05
0	20	15625	17576	25	0	4.8e-05
0	20	15625	17576	25	0	4.8e-05
0	20	15625	17576	25	0	4.7e-05
0	200	15625	17576	25	0	4.7e-05
0	200	15625	17576	25	0	4.7e-05
0	200	15625	17576	25	0	5.1e-05
0	30	15625	17576	25	0	4.7e-05
0	30	15625	17576	25	0	4.7e-05
0	30	15625	17576	25	0	4.7e-05
0	300	15625	17576	25	0	4.8e-05
0	300	15625	17576	25	0	4.7e-05
0	300	15625	17576	25	0	4.8e-05
0	400	15625	17576	25	0	4.8e-05
0	400	15625	17576	25	0	4.7e-05
0	400	15625	17576	25	0	4.8e-05
0	50	15625	17576	25	0	5.1e-05
0	50	15625	17576	25	0	4.8e-05
0	50	15625	17576	25	0	4.7e-05
0	500	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.8e-05
0	500	15625	17576	25	0	4.8e-05
0	600	15625	17576	25	0	4.7e-05
0	600	15625	17576	25	0	4.7e-05
0	600	15625	17576	25	0	4.7e-05
0	100	21952	24389	28	0	4.8e-05
0	100	21952	24389	28	0	4.8e-05
0	100	21952	24389	28	0	4.8e-05
0	20	21952	24389	28	0	4.7e-05
0	20	21952	24389	28	0	4.7e-05
0	20	21952	24389	28	0	4.7e-05
0	200	21952	24389	28	0	4.8e-05
0	200	21952	24389	28	0	4.7e-05
0	200	21952	24389	28	0	4.8e-05
0	30	21952	24389	28	0	4.7e-05
0	30	21952	24389	28	0	4.8e-05
0	30	21952	24389	28	0	4.7e-05
0	300	21952	24389	28	0	4.7e-05
0	300	21952	24389	28	0	5.2e-05
0	300	21952	24389	28	0	4.8e-05
0	400	21952	24389	28	0	4.9e-05
0	400	21952	24389	28	0	4.7e-05
0	400	21952	24389	28	0	4.8e-05
0	50	21952	24389	28	0	4.9e-05
0	50	21952	24389	28	0	4.8e-05
0	50	21952	24389	28	0	4.7e-05
0	500	21952	24389	28	0	4.8e-05
0	500	21952	24389	28	0	4.8e-05
0	500	21952	24389	28	0	4.8e-05
0	600	21952	24389	28	0	4.8e-05
0	600	21952	24389	28	0	4.8e-05
0	600	21952	24389	28	0	4.8e-05
0	100	27000	29791	30	0	4.8e-05
0	100	27000	29791	30	0	4.8e-05
0	100	27000	29791	30	0	4.8e-05
0	20	27000	29791	30	0	4.7e-05
0	20	27000	29791	30	0	4.8e-05
0	20	27000	29791	30	0	4.7e-05
0	200	27000	29791	30	0	4.7e-05
0	200	27000	29791	30	0	4.8e-05
0	200	27000	29791	30	0	4.7e-05
0	30	27000	29791	30	0	4.7e-05
0	30	27000	29791	30	0	4.7e-05
0	30	27000	29791	30	0	4.8e-05
0	300	27000	29791	30	0	4.7e-05
0	300	27000	29791	30	0	4.8e-05
0	300	27000	29791	30	0	5.2e-05
0	400	27000	29791	30	0	4.8e-05
0	400	27000	29791	30	0	4.7e-05
0	400	27000	29791	30	0	4.8e-05
0	50	27000	29791	30	0	4.8e-05
0	50	27000	29791	30	0	4.7e-05
0	50	27000	29791	30	0	4.8e-05
0	500	27000	29791	30	0	4.8e-05
0	500	27000	29791	30	0	4.9e-05
0	500	27000	29791	30	0	4.7e-05
0	600	27000	29791	30	0	4.8e-05
0	600	27000	29791	30	0	4.8e-05
0	600	27000	29791	30	0	4.8e-05
0	100	42875	46656	35	0	4.8e-05
0	100	42875	46656	35	0	4.7e-05
0	100	42875	46656	35	0	4.8e-05
0	20	42875	46656	35	0	4.8e-05
0	20	42875	46656	35	0	4.7e-05
0	20	42875	46656	35	0	4.7e-05
0	200	42875	46656	35	0	4.7e-05
0	200	42875	46656	35	0	4.8e-05
0	200	42875	46656	35	0	4.8e-05
0	30	42875	46656	35	0	4.6e-05
0	30	42875	46656	35	0	4.7e-05
0	30	42875	46656	35	0	4.7e-05
0	300	42875	46656	35	0	4.7e-05
0	300	42875	46656	35	0	4.7e-05
0	300	42875	46656	35	0	4.7e-05
0	400	42875	46656	35	0	4.7e-05
0	400	42875	46656	35	0	4.8e-05
0	400	42875	46656	35	0	4.7e-05
0	50	42875	46656	35	0	4.8e-05
0	50	42875	46656	35	0	4.8e-05
0	50	42875	46656	35	0	4.8e-05
0	500	42875	46656	35	0	4.8e-05
0	500	42875	46656	35	0	5.2e-05
0	500	42875	46656	35	0	4.7e-05
0	600	42875	46656	35	0	4.7e-05
0	600	42875	46656	35	0	4.7e-05
0	600	42875	46656	35	0	4.8e-05
0	100	64000	68921	40	0	4.7e-05
0	100	64000	68921	40	0	4.7e-05
0	100	64000	68921	40	0	4.7e-05
0	20	64000	68921	40	0	4.7e-05
0	20	64000	68921	40	0	4.7e-05
0	20	64000	68921	40	0	4.8e-05
0	200	64000	68921	40	0	4.8e-05
0	200	64000	68921	40	0	5.2e-05
0	200	64000	68921	40	0	5.1e-05
0	30	64000	68921	40	0	4.8e-05
0	30	64000	68921	40	0	4.7e-05
0	30	64000	68921	40	0	4.7e-05
0	300	64000	68921	40	0	4.8e-05
0	300	64000	68921	40	0	4.8e-05
0	300	64000	68921	40	0	4.8e-05
0	400	64000	68921	40	0	4.8e-05
0	400	64000	68921	40	0	4.7e-05
0	400	64000	68921	40	0	4.7e-05
0	50	64000	68921	40	0	4.8e-05
0	50	64000	68921	40	0	4.8e-05
0	50	64000	68921	40	0	4.7e-05
0	500	64000	68921	40	0	4.8e-05
0	500	64000	68921	40	0	4.8e-05
0	500	64000	68921	40	0	4.7e-05
0	600	64000	68921	40	0	4.8e-05
0	600	64000	68921	40	0	4.7e-05
0	600	64000	68921	40	0	4.7e-05
0	100	3375	4096	15	0	4.7e-05
0	100	3375	4096	15	0	4.7e-05
0	100	3375	4096	15	0	4.8e-05
0	20	3375	4096	15	0	5e-05
0	20	3375	4096	15	0	4.8e-05
0	20	3375	4096	15	0	4.8e-05
0	200	3375	4096	15	0	4.8e-05
0	200	3375	4096	15	0	4.7e-05
0	200	3375	4096	15	0	4.7e-05
0	30	3375	4096	15	0	4.7e-05
0	30	3375	4096	15	0	4.7e-05
0	30	3375	4096	15	0	4.8e-05
0	300	3375	4096	15	0	4.8e-05
0	300	3375	4096	15	0	4.7e-05
0	300	3375	4096	15	0	4.7e-05
0	400	3375	4096	15	0	4.8e-05
0	400	3375	4096	15	0	4.8e-05
0	400	3375	4096	15	0	4.7e-05
0	50	3375	4096	15	0	4.7e-05
0	50	3375	4096	15	0	4.8e-05
0	50	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.8e-05
0	500	3375	4096	15	0	4.7e-05
0	500	3375	4096	15	0	4.7e-05
0	600	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	4.8e-05
0	600	3375	4096	15	0	4.8e-05
0	100	8000	9261	20	0	4.8e-05
0	100	8000	9261	20	0	4.7e-05
0	100	8000	9261	20	0	4.8e-05
0	20	8000	9261	20	0	5.2e-05
0	20	8000	9261	20	0	4.7e-05
0	20	8000	9261	20	0	4.7e-05
0	200	8000	9261	20	0	4.7e-05
